data;accuracy;predictors;feature_importances
../data/cwe_all.csv;0.2727272727272727;repetition;0.11859952147833173
../data/cwe_all.csv;0.2727272727272727;retraction;0.10998304576827118
../data/cwe_all.csv;0.2727272727272727;unfilled_pause;0.08683106723087321
../data/cwe_all.csv;0.2727272727272727;unfilled_pause_longer;0.009657688669372649
../data/cwe_all.csv;0.2727272727272727;unfilled_pause_longest;0.0023243494392156823
../data/cwe_all.csv;0.2727272727272727;error;0.06136623192289286
../data/cwe_all.csv;0.2727272727272727;nr_lines;0.12419691372359347
../data/cwe_all.csv;0.2727272727272727;nr_words;0.13745177867302846
../data/cwe_all.csv;0.2727272727272727;nr_words_per_line;0.20230556523167717
../data/cwe_all.csv;0.2727272727272727;gender;0.021388477261480517
../data/cwe_all.csv;0.2727272727272727;age_months;0.125895360601263
