data;accuracy;predictors;feature_importances
../data/cwe_chronic.csv;0.42857142857142855;repetition;0.21898261996393031
../data/cwe_chronic.csv;0.42857142857142855;retraction;0.1495453125118959
../data/cwe_chronic.csv;0.42857142857142855;unfilled_pause;0.07034987558888858
../data/cwe_chronic.csv;0.42857142857142855;unfilled_pause_longer;0.0035988369338171722
../data/cwe_chronic.csv;0.42857142857142855;unfilled_pause_longest;0.0014030958735081888
../data/cwe_chronic.csv;0.42857142857142855;nonword;0.0
../data/cwe_chronic.csv;0.42857142857142855;filled_pause;0.0
../data/cwe_chronic.csv;0.42857142857142855;error;0.03490187982334171
../data/cwe_chronic.csv;0.42857142857142855;nr_lines;0.13187910839298955
../data/cwe_chronic.csv;0.42857142857142855;nr_words;0.12780238863601046
../data/cwe_chronic.csv;0.42857142857142855;nr_words_per_line;0.15188258897157433
../data/cwe_chronic.csv;0.42857142857142855;gender;0.028617656866476507
../data/cwe_chronic.csv;0.42857142857142855;age_months;0.08103663643756728
