data;accuracy;predictors;feature_importances
../data/cwe_recent.csv;0.5;repetition;0.07905187859815518
../data/cwe_recent.csv;0.5;retraction;0.08933254884079007
../data/cwe_recent.csv;0.5;unfilled_pause;0.2038593995490641
../data/cwe_recent.csv;0.5;unfilled_pause_longer;0.006945054945054945
../data/cwe_recent.csv;0.5;error;0.0743016710802425
../data/cwe_recent.csv;0.5;nr_lines;0.19253410645791597
../data/cwe_recent.csv;0.5;nr_words;0.1328645795202072
../data/cwe_recent.csv;0.5;nr_words_per_line;0.09460223356890024
../data/cwe_recent.csv;0.5;gender;0.007012593732958476
../data/cwe_recent.csv;0.5;age_months;0.11949593370671133
